date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,35.95,37.4,35.95,36.5,2035763
2021-01-04 00:00:00+05:30,36.7,37.75,36.15,36.85,2939345
2021-01-05 00:00:00+05:30,36.5,36.65,35.75,36.5,3169798
2021-01-06 00:00:00+05:30,36.5,37.05,35.8,36.15,3105249
2021-01-07 00:00:00+05:30,36.45,36.75,35.8,35.95,2723099
2021-01-08 00:00:00+05:30,36.1,38.85,36.05,37.25,5513740
2021-01-11 00:00:00+05:30,37.75,37.9,36.3,37.05,1923864
2021-01-12 00:00:00+05:30,37.05,39.5,36.8,39.25,5642377
2021-01-13 00:00:00+05:30,39.3,39.5,37.1,37.4,3378609
2021-01-14 00:00:00+05:30,37.35,38.45,36.75,37.2,1760245
2021-01-15 00:00:00+05:30,37.35,37.9,36.35,36.55,1310205
2021-01-18 00:00:00+05:30,36.65,37.15,35.6,36.5,1391150
2021-01-19 00:00:00+05:30,37.05,38.7,37.0,38.35,2301051
2021-01-20 00:00:00+05:30,39.4,39.95,38.05,38.6,5796229
2021-01-21 00:00:00+05:30,38.65,38.8,37.1,37.25,1486188
2021-01-22 00:00:00+05:30,37.75,37.75,36.5,37.0,1413973
2021-01-25 00:00:00+05:30,37.2,37.7,36.5,37.0,1294097
2021-01-27 00:00:00+05:30,36.95,37.15,36.0,36.25,906478
2021-01-28 00:00:00+05:30,35.95,36.85,35.8,36.5,833563
2021-01-29 00:00:00+05:30,36.55,37.2,36.05,36.25,599122
2021-02-01 00:00:00+05:30,36.25,36.65,35.85,36.55,664848
2021-02-02 00:00:00+05:30,36.75,37.3,36.65,37.0,1275427
2021-02-03 00:00:00+05:30,37.3,37.65,36.7,37.1,760152
2021-02-04 00:00:00+05:30,36.9,38.25,36.75,37.5,2685962
2021-02-05 00:00:00+05:30,37.65,37.75,36.65,36.9,906159
2021-02-08 00:00:00+05:30,37.0,37.7,36.8,37.0,1186764
2021-02-09 00:00:00+05:30,37.0,37.2,36.1,36.25,664658
2021-02-10 00:00:00+05:30,36.3,36.7,36.3,36.45,548728
